#{"t_start": 1750876477.8128698, "env_id": "None"}
r,l,t
-19.93238,500,227.720944
-20.123674,500,227.720963
-20.036573,500,227.720978
-20.14212,500,231.082209
-19.60515,500,231.08228
-19.693867,500,231.082299
-20.305017,500,231.082315
-19.33842,500,234.433565
-20.19554,500,234.43364
-19.569466,500,234.433659
-19.439598,500,234.433674
-19.776417,500,237.787642
-20.250616,500,237.787718
-19.744917,500,237.787754
-19.742535,500,237.787767
-19.125263,500,241.148767
-19.945925,500,241.148839
-19.653725,500,241.14886
-20.17121,500,241.148872
-19.653084,500,244.488285
-20.068348,500,244.48836
-19.51893,500,244.488378
-20.051744,500,244.48839
-20.052109,500,247.835976
-19.538668,500,247.836052
-19.503809,500,247.836073
-20.061798,500,247.836089
-19.044882,500,251.173016
-19.781044,500,251.173137
-19.424305,500,251.173156
-20.055637,500,251.173168
-19.665138,500,254.513026
-19.174187,500,254.513106
-19.898039,500,254.513124
-20.013952,500,254.513136
-20.424685,500,257.861719
-19.622082,500,257.861831
-20.073465,500,257.861856
-19.919384,500,257.861868
-19.33414,500,261.221073
-19.41865,500,261.221247
-19.898542,500,261.221281
-19.100502,500,261.221303
-19.57309,500,264.554293
-19.943722,500,264.554363
-19.944403,500,264.554381
-20.09565,500,264.554392
-19.698774,500,267.886425
-19.863323,500,267.88835
-19.87089,500,267.888546
-20.09164,500,267.889497
-20.372017,500,271.234084
-19.713238,500,271.234156
-19.981827,500,271.234177
-19.444733,500,271.234189
-20.09546,500,274.593545
-19.679125,500,274.595612
-19.55713,500,274.595693
-19.31672,500,274.595719
-20.064995,500,277.942288
-19.866373,500,277.94236
-20.065477,500,277.942381
-19.447691,500,277.942394
-19.534298,500,281.304724
-19.76931,500,281.304849
-19.675617,500,281.304878
-19.93919,500,281.304891
-19.392986,500,284.6572
-19.244757,500,284.657274
-19.731276,500,284.657295
-19.651407,500,284.657308
-19.568167,500,288.002158
-19.65823,500,288.002238
-19.324556,500,288.002257
-19.687353,500,288.002269
-19.655016,500,295.843574
-19.909399,500,295.843659
-19.991644,500,295.843678
-19.379694,500,295.843692
-19.383749,500,299.184792
-20.03673,500,299.184862
-19.502039,500,299.184879
-19.187971,500,299.184891
-19.254131,500,302.527653
-19.89224,500,302.527722
-19.808142,500,302.527758
-19.721622,500,302.527771
-19.984262,500,305.849895
-19.943855,500,305.849966
-19.832422,500,305.849983
-19.334654,500,305.849995
-19.356197,500,309.166216
-19.474037,500,309.166289
-19.777885,500,309.166307
-19.851307,500,309.166322
-18.819033,500,312.509578
-20.012978,500,312.509686
-19.582886,500,312.509712
-19.481897,500,312.509727
-19.57256,500,315.860188
-19.60817,500,315.86026
-19.70275,500,315.860278
-19.68393,500,315.860291
-19.410748,500,319.198391
-19.245684,500,319.198461
-19.232647,500,319.198483
-19.37028,500,319.198495
-19.724167,500,322.545341
-19.457932,500,322.545464
-20.14386,500,322.545487
-19.185358,500,322.545502
-19.952215,500,325.88724
-19.567917,500,325.887316
-19.729603,500,325.887338
-19.178946,500,325.887352
-19.2951,500,329.228914
-19.163143,500,329.228986
-19.615837,500,329.229005
-19.133347,500,329.229019
-19.753345,500,332.575126
