#{"t_start": 1750788636.117522, "env_id": "None"}
r,l,t
230.87273,300,108.911332
235.25436,300,109.360423
225.61896,300,109.811799
230.11766,300,110.268461
228.51064,300,110.713584
72,300,11.155847
259.46732,300,11.155863
191.34357,300,11.155873
255.33388,300,12.099053
331.56995,300,12.099131
219.83504,300,12.099146
391.11295,300,12.099155
187.14952,300,12.977975
346.13177,300,12.978049
278.7721,300,12.978066
199.6581,300,12.978076
272.25793,300,13.91831
220.12823,300,13.918405
290.55563,300,13.918419
201.69171,300,13.918431
270.85455,300,14.804086
193.07611,300,14.804177
235.46297,300,14.80419
325.65463,300,14.804199
317.2396,300,15.665088  
322.31543,300,15.665157
193.60579,300,15.665171
186.0443,300,15.66518
227.52974,300,16.551932
201.89143,300,16.552018
218.12813,300,16.552034
245.97176,300,16.552045
260.5805,300,25.836196
184.22804,300,25.836313
320.67007,300,25.836329
292.71576,300,25.836338
412.95184,300,37.697611
212.22696,300,37.697755
255.81956,300,37.697769
175.74152,300,37.697795
270.17297,300,49.732969
190.40454,300,49.733078
188.36636,300,49.733094
275.71548,300,49.733117
209.61926,300,61.74076
180.47766,300,61.740834
181.50438,300,61.740849
198.762,300,61.740858
231.45726,300,73.736974
276.85663,300,73.737048
220.80093,300,73.737062
203.91559,300,73.737071
268.83096,300,85.800835
202.14496,300,85.800906
277.64154,300,85.80092
180.23193,300,85.800929
335.8591,300,97.612794
205.88187,300,97.61288
407.47754,300,97.612893
242.30066,300,97.612902
182.67345,300,109.686893
183.55731,300,109.687031
202.80623,300,109.687049
211.99753,300,109.68706
