#{"t_start": 1750870775.7624865, "env_id": "None"}
r,l,t
363.04025,300,119.270988
249.97946,300,119.770334
271.82953,300,120.268116
168.30473,300,120.766799
186.00781,300,121.266781
212.8769,300,343.809281
311.2304,300,344.308624
332.15778,300,344.80848
249.32486,300,345.307518
374.42606,300,345.805028
319.55786,300,566.866193
199.12921,300,567.367923
236.66266,300,567.872203
294.6191,300,568.376431
327.86972,300,568.876986
209.97382,300,791.816241
314.8177,300,792.314563
218.28218,300,792.815131
292.6326,300,793.312643
187.4421,300,793.812128
236.70901,300,1019.345792
205.34772,300,1019.844989
243.65547,300,1020.342893
372.90414,300,1020.840869
172.39833,300,1021.337431
214.24022,300,1245.798746
200.82018,300,1246.290123
174.94139,300,1246.782435
328.5375,300,1247.27219
228.83752,300,1247.76528
214.46222,300,1469.818887
193.35895,300,1470.31592
418.50543,300,1470.813002
257.045,300,1471.310204
307.50687,300,1471.806577
273.0811,300,1693.323942
301.94437,300,1693.820867
355.3043,300,1694.314528
180.68332,300,1694.811001
390.27948,300,1695.304888
249.14703,300,1922.48946
355.61874,300,1922.988322
350.55975,300,1923.488266
304.45172,300,1923.986652
364.12454,300,1924.484406
190.80109,300,2146.965359
231.946,300,2147.460746
296.62677,300,2147.956802
207.4558,300,2148.451932
216.01138,300,2148.950794
271.6138,300,2381.14638
357.07608,300,2381.641321
181.314,300,2382.138712
172.96603,300,2382.632905
234.71404,300,2383.126739
25507,300,101.897078
181.75061,300,115.072571
378.6897,300,115.072651
211.45833,300,115.072668
193.32317,300,115.072678
266.2489,300,130.878734
175.20593,300,130.878835
269.33575,300,130.878856
377.45346,300,130.878868
415.38333,300,144.083557
175.54964,300,144.083654
275.40402,300,144.083674
205.5075,300,144.083687
335.07053,300,157.22603
235.88689,300,157.226183
292.37082,300,157.226206
186.79497,300,157.226218
277.9299,300,170.401348
355.69138,300,170.401423
315.92087,300,170.40144
383.0909,300,170.40145
219.56744,300,183.653731
390.19763,300,183.653894
387.14062,300,183.653917
203.81612,300,183.653928
234.59035,300,196.689435
179.20502,300,196.689509
258.1883,300,196.689528
216.58817,300,196.68954
234.21428,300,209.891829
194.49359,300,209.891903
243.99779,300,209.891921
368.26242,300,209.891932
397.14624,300,223.127687
351.59042,300,223.127773
186.72269,300,223.127805
247.56409,300,223.127821
255.27888,300,236.302191
283.50543,300,236.302267
253.05962,300,236.302287
198.77487,300,236.302298
292.385,300,250.077666
206.37477,300,250.077773
247.63339,300,250.077818
219.07512,300,250.077833
245.07333,300,263.354567
215.05457,300,263.354643
408.80673,300,263.354662
350.00482,300,263.354677
189.23239,300,276.47118
227.30571,300,276.471314
212.82747,300,276.471336
362.41235,300,276.471351
189.23596,300,289.63438
263.4214,300,289.634474
371.81873,300,289.634493
211.5758,300,289.634507
230.82135,300,302.849602
277.29108,300,302.849694
210.81865,300,302.849713
220.07912,300,302.849726
266.2877,300,316.350065
325.05624,300,316.350182
212.75946,300,316.350211
243.38736,300,316.350236
195.50932,300,329.48516
347.12976,300,329.485248
265.27777,300,329.485269
203.26187,300,329.485285
182.36656,300,343.838579
197.71791,300,343.838654
246.94034,300,343.838671
363.09045,300,343.838683
246.27757,300,359.716299
224.52745,300,359.716374
192.90962,300,359.716391
248.61014,300,359.716402
196.54707,300,372.95981
182.32646,300,372.959904
189.30289,300,372.959923
381.36542,300,372.959934
382.70193,300,386.116355
381.31705,300,386.116431
228.17027,300,386.116448
260.8273,300,386.116458
234.32915,300,399.2355
193.61613,300,399.235609
218.79431,300,399.235629
202.55858,300,399.235641
191.97855,300,412.458705
192.64696,300,412.458841
275.59164,300,412.458861
237.61107,300,412.458875
376.83032,300,425.658408
223.65439,300,425.658492
176.22217,300,425.65852
239.90218,300,425.658535
372.1004,300,438.883242
186.89917,300,438.883336
247.67459,300,438.883357
197.87334,300,438.883368
291.35907,300,452.115976
379.5307,300,452.11605
275.44284,300,452.11607
187.20795,300,452.116081
201.56778,300,465.355343
200.56287,300,465.355419
203.01192,300,465.355436
299.764,300,465.355447
306.91922,300,478.554389
306.13773,300,478.554509
183.86305,300,478.554529
218.36899,300,478.554543
305.39224,300,491.737345
336.9683,300,491.737423
298.64993,300,491.737454
329.8507,300,491.737466
274.06036,300,505.191786
196.87251,300,505.191875
200.67963,300,505.191895
260.72397,300,505.191907
225.86998,300,518.381075
177.70088,300,518.381151
179.51173,300,518.381168
326.06744,300,518.381181
310.33328,300,531.601734
312.54297,300,531.601826
321.46725,300,531.601847
301.21555,300,531.601859
185.35683,300,544.839585
191.33473,300,544.839661
187.05058,300,544.839678
384.63174,300,544.839689
224.69339,300,558.101634
331.03775,300,558.101711
218.36911,300,558.101739
258.39975,300,558.101754
275.04272,300,571.361705
191.29147,300,571.361812
350.26126,300,571.361831
289.22083,300,571.361846
256.01434,300,587.098304
315.6819,300,587.0984
274.47028,300,587.098418
363.8234,300,587.098432
287.60004,300,600.351701
264.77725,300,600.351781
378.81244,300,600.35181
324.81873,300,600.351824
191.02084,300,613.523399
292.5931,300,613.523479
226.16214,300,613.523498
335.7917,300,613.523509
264.3589,300,626.776696
254.74973,300,626.776779
170.38615,300,626.776811
200.24362,300,626.776826
346.86578,300,639.938213
258.7396,300,639.938287
211.32825,300,639.938307
340.74347,300,639.938319
256.29385,300,653.116555
231.92642,300,653.11663
213.47133,300,653.116647
328.0542,300,653.116661
276.39017,300,666.288354
210.92126,300,666.288429
192.01735,300,666.288448
190.60205,300,666.288459
190.70685,300,679.545692
213.23897,300,679.545777
240.97356,300,679.545809
235.79865,300,679.545825
273.77185,300,692.797196
291.14383,300,692.797272
173.90166,300,692.797289
226.49658,300,692.7973
171.49457,300,705.909966
404.14218,300,705.910041
254.14261,300,705.910057
191.30109,300,705.910067
298.65408,300,719.038687
197.14159,300,719.038773
372.134,300,719.038812
285.0612,300,719.038824
270.013,300,732.209816
270.25333,300,732.209889
196.93257,300,732.209906
422.63672,300,732.209917
201.52017,300,746.433132
331.1959,300,746.433231
192.8122,300,746.433251
258.4307,300,746.433263
226.34421,300,760.206467
322.15875,300,760.206545
296.72363,300,760.206562
257.10876,300,760.206574
273.94104,300,773.778435
318.93124,300,773.778508
436.03162,300,773.778525
206.22968,300,773.778536
183.01367,300,787.441653
197.11221,300,787.441788
215.22261,300,787.441823
170.12396,300,787.441839
357.3336,300,803.38763
275.11395,300,803.387721
187.03282,300,803.387748
176.0013,300,803.387759
350.72195,300,816.814312
251.06534,300,816.81442
305.22134,300,816.814441
228.86627,300,816.814457
170.35974,300,830.027003
356.30737,300,830.027083
200.49084,300,830.027103
241.48703,300,830.027115
259.02164,300,843.284892
212.12799,300,843.284997
200.31331,300,843.285017
323.3754,300,843.285028
276.68283,300,856.456341
205.23851,300,856.456416
266.51846,300,856.456443
225.41254,300,856.456454
233.52673,300,869.584982
203.49739,300,869.585055
192.2169,300,869.585072
405.62967,300,869.585083
236.45268,300,882.828962
410.52588,300,882.829048
226.55638,300,882.829066
257.97955,300,882.829077
195.83817,300,896.068901
279.47186,300,896.068972
197.2483,300,896.068989
215.4653,300,896.069
364.68347,300,909.379545
210.19675,300,909.379635
260.62506,300,909.379657
202.2729,300,909.379672
249.25641,300,923.508808
371.2959,300,923.508895
303.49374,300,923.508915
174.84814,300,923.508931
366.59088,300,937.788737
324.95895,300,937.788827
377.92252,300,937.788849
180.87312,300,937.788861
210.34569,300,951.363142
220.0462,300,951.363219
345.23975,300,951.363239
189.91615,300,951.36325
221.89285,300,965.88415
245.72699,300,965.884268
193.35152,300,965.884292
231.95348,300,965.884307
352.0999,300,979.947371
229.29144,300,979.947445
321.2162,300,979.947462
174.75636,300,979.947473
255.05835,300,993.154087
193.96045,300,993.15416
257.81073,300,993.154179
296.9055,300,993.154194
246.47302,300,1006.317305
199.79753,300,1006.31738
425.32007,300,1006.317398
295.88864,300,1006.31741
212.06808,300,1019.479626
273.1707,300,1019.479707
250.10547,300,1019.479725
265.187,300,1019.479739
186.15457,300,1035.23291
206.33427,300,1035.232994
185.30817,300,1035.233011
378.39783,300,1035.233022
238.88551,300,1048.412112
407.04657,300,1048.412186
342.91492,300,1048.412206
325.36212,300,1048.412221
301.04987,300,1061.578333
173.00165,300,1061.578422
208.43277,300,1061.578441
200.99504,300,1061.578455
282.06415,300,1075.237062
198.57133,300,1075.237137
241.50458,300,1075.237156
265.82562,300,1075.237171
344.97232,300,1088.413994
295.27103,300,1088.414078
180.52022,300,1088.414097
278.96198,300,1088.414112
238.61362,300,1101.678172
212.72177,300,1101.678267
198.01846,300,1101.678287
273.08865,300,1101.678298
202.55449,300,1115.647998
178.36435,300,1115.648081
247.1608,300,1115.648101
189.52924,300,1115.648117
178.30913,300,1129.373835
355.62186,300,1129.373905
307.8211,300,1129.373924
192.38763,300,1129.373939
191.63048,300,1142.593682
186.7119,300,1142.593783
310.54108,300,1142.593815
382.58487,300,1142.593827
279.02942,300,1156.040789
195.47473,300,1156.040888
258.96918,300,1156.040908
193.7839,300,1156.040919
