#{"t_start": 1750917717.821401, "env_id": "None"}
r,l,t
-949.8254,250,770.538784
-935.5903,250,773.610844
-975.619,250,779.050564
-942.216,250,782.109214
-951.0415,250,785.171964
-959.4091,250,788.252127
-964.83966,250,791.345151
-966.5918,250,794.408207
-997.4339,250,797.468638
-968.89215,250,800.531175
-963.34814,250,803.593093
-982.3883,250,806.6708
-972.4986,250,809.776365
-977.80334,250,812.856979
-990.1212,250,815.941151
-977.8459,250,819.018129
-964.37213,250,822.097614
-954.94916,250,825.162909
-953.5313,250,828.283515
-972.2419,250,831.382367
-979.3209,250,834.458829
-968.72675,250,837.5466
-979.41364,250,842.990859
-953.3714,250,846.082166
-948.48846,250,849.143654
-971.123,250,852.231638
-970.9756,250,855.312992
-957.11554,250,858.386241
-952.7698,250,861.446635
-966.31903,250,864.523809
-951.7361,250,867.606061
-973.1575,250,870.676802
-991.5259,250,873.745339
-960.12463,250,876.828968
-965.9966,250,879.924143
-972.0506,250,882.995543
-976.68567,250,886.07292
-953.74554,250,889.21514
-990.79596,250,892.329025
-951.7381,250,895.439809
-963.8556,250,898.519272
-948.1919,250,901.575183
-973.09717,250,907.037299
-945.40857,250,910.11374
-994.95917,250,913.210744
-972.33734,250,916.304612
-924.53827,250,919.40771
-980.0361,250,922.494893
-953.23444,250,925.544822
-947.3139,250,928.642453
-984.7963,250,931.744957
-947.0579,250,934.825382
-971.34033,250,937.88609
-967.9639,250,940.955172
-932.6693,250,944.033134
-942.5524,250,947.171507
-964.119,250,950.249658
-950.54425,250,953.339198
-968.4011,250,956.415759
-949.3267,250,959.500213
-952.4506,250,962.577569
-964.38324,250,965.643501
-980.8774,250,971.042188
-954.6457,250,974.111141
-978.0847,250,977.191441
-945.7742,250,980.270309
-952.40454,250,983.339379
-943.0911,250,986.398818
-977.3906,250,989.460717
-942.27747,250,992.522898
-939.5464,250,995.56411
-940.89905,250,998.643055
-975.7253,250,1001.71115
-938.2209,250,1004.812928
-957.6568,250,1007.898307
-952.88257,250,1010.984812
-915.21515,250,1014.075072
-968.60425,250,1017.17392
-966.5441,250,1020.268366
-939.462,250,1023.382134
-958.6389,250,1026.484782
-948.9592,250,1029.576137
-951.18274,250,1034.995638
-971.6601,250,1038.099128
-947.80615,250,1041.195919
-974.7279,250,1044.286098
-951.064,250,1047.373289
-951.922,250,1050.471845
-949.55597,250,1053.550345
-958.9377,250,1056.617385
-944.50385,250,1059.71092
-967.3827,250,1062.827482
-941.514,250,1065.926668
-943.3731,250,1069.007814
-942.40405,250,1072.0908
-934.2257,250,1075.180996
-913.71594,250,1078.259946
-941.56775,250,1081.32204
-919.6817,250,1084.394582
-935.7114,250,1087.463651
-943.2442,250,1090.537287
-957.4849,250,1093.610791
-932.76324,250,1099.027822
-972.2753,250,1102.124223
-942.35266,250,1105.197726
-973.42554,250,1108.273358
-937.0548,250,1111.343204
-959.74603,250,1114.41351
-940.357,250,1117.484471
-935.3043,250,1120.55597
-993.3748,250,1123.621745
-964.13916,250,1126.673368
-953.5597,250,1129.744821
-941.6102,250,1132.788614
