#{"t_start": 1750918935.0908134, "env_id": "None"}
r,l,t
-1491.693,250,6.302441
-1488.9398,250,6.600265
-1505.8484,250,6.897334
-1515.6843,250,7.195895
-1497.3077,250,10.717545
-1450.1953,250,13.724646
-1481.3657,250,16.736112
-1518.8569,250,19.759976
-1504.7601,250,22.772872
-1505.2761,250,25.777378
-1501.0353,250,28.811466
-1524.8363,250,31.855297
-1535.1177,250,34.86911
-1502.4523,250,37.876674
-1499.3789,250,40.901788
-1491.2935,250,43.923333
-1492.2496,250,46.960785
-1465.923,250,50.027871
-1459.7795,250,53.079293
-1478.7163,250,56.091807
-1445.7178,250,61.486036
-1462.0983,250,64.692854
-1424.1113,250,67.839977
-1443.445,250,70.860633
-1450.6818,250,73.877475
-1409.4669,250,76.926527
-1412.2744,250,79.959316
-1386.3726,250,82.974387
-1353.3088,250,85.998242
-1382.5151,250,88.989833
-1345.394,250,91.993862
-1321.2823,250,95.005008
-1248.0825,250,98.017196
-1255.8519,250,101.007338
-1250.2284,250,104.028079
-1251.328,250,107.03744
-1239.775,250,110.039574
-1164.7598,250,113.047379
-1165.6178,250,116.073012
-1109.1619,250,119.083826
-1114.6136,250,124.41404
-1123.5989,250,127.455039
-1077.1879,250,130.503492
-1097.6318,250,133.575199
-1096.707,250,136.619302
-1059.7368,250,139.654745
-1053.727,250,142.687536
-1061.5271,250,145.711929
-1042.7094,250,148.772098
-1035.1244,250,151.808801
-1027.8257,250,154.946892
-1057.5468,250,158.19815
-1034.2717,250,161.569855
-1015.52454,250,164.776405
-1016.39374,250,167.998075
-1026.0555,250,171.030643
-1018.4757,250,174.073692
-1012.8051,250,177.110142
-1024.4939,250,180.164045
-1012.68054,250,183.195252
-1018.7297,250,188.537859
-993.02405,250,191.553294
-1012.02094,250,194.562243
-999.9704,250,197.581326
-1003.77094,250,200.618027
-997.3908,250,203.655818
-1010.57495,250,206.687248
-997.41016,250,209.705882
-1011.6518,250,212.718783
-1009.7505,250,215.754118
-1000.9643,250,218.776886
-1014.8212,250,221.822959
-1016.1046,250,224.861183
-1000.8095,250,227.903176
-1005.51196,250,230.950674
-1004.7692,250,234.013314
-993.0452,250,237.031787
-996.0282,250,240.092987
-984.813,250,243.409962
-1014.60815,250,246.749324
-986.42926,250,252.386615
-995.7061,250,255.616663
-965.7451,250,258.794725
-1011.70044,250,262.100011
-997.78094,250,265.210677
-992.0466,250,268.362497
-995.36957,250,271.530943
-1007.8449,250,274.806959
-992.1399,250,278.183055
-998.27124,250,281.334627
-999.3494,250,284.658273
-1003.6173,250,288.020943
-966.99524,250,291.328586
-984.0458,250,294.713981
-988.0898,250,298.123755
-1008.07263,250,301.4463
-978.4895,250,304.592002
-985.4285,250,307.876809
-991.4358,250,311.144344
-975.7642,250,314.269227
-982.354,250,320.094264
-966.13086,250,323.578697
-986.81665,250,326.926825
-984.0867,250,330.317626
-958.95355,250,333.571753
-995.9609,250,336.833354
-977.3486,250,340.094695
-979.19244,250,343.384538
-975.6811,250,346.684334
-978.85,250,350.183103
-977.8801,250,353.319378
-971.2828,250,356.572787
-969.2407,250,359.618565
-1007.5448,250,362.954632
-990.1465,250,366.27626
-985.75977,250,369.727208
-978.9271,250,372.987262
-993.9959,250,376.417956
-987.2119,250,379.842972
-964.4995,250,383.237332
-978.73035,250,389.396233
-953.26227,250,392.824093
-968.13763,250,396.229937
-980.99243,250,399.629368
-976.6915,250,402.912264
-970.2429,250,406.165738
-987.3344,250,409.676452
-982.6101,250,413.012316
-963.599,250,416.322137
-967.43115,250,419.604647
-983.6995,250,422.87618
-998.9059,250,426.152184
-1020.75397,250,429.38004
-971.6332,250,432.575881
-969.5999,250,435.901541
-987.0722,250,439.12924
-990.2766,250,442.468093
-996.8415,250,445.857673
-958.03754,250,449.212733
-991.5891,250,453.015553
-997.67847,250,459.172812
-990.8887,250,462.595856
-970.1216,250,465.929979
-993.6416,250,469.158017
-981.9321,250,472.452054
-982.88,250,475.84849
-952.1363,250,479.314016
-997.3114,250,482.373184
