#{"t_start": 1750874161.730601, "env_id": "None"}
r,l,t
-56.00041,500,64.456821
-56.366505,500,65.329545
-62.00781,500,66.199812
-68.19743,500,67.075169
-59.56454,500,67.949597
-47.430332,500,135.825985
-45.40086,500,136.716667
-53.03348,500,137.586603
-46.58625,500,138.457083
-48.89198,500,139.323905
-81.306114,500,207.517103
-65.24025,500,208.380026
-77.22382,500,209.241316
-74.1606,500,210.101204
-66.837776,500,210.971179
-48.325367,500,278.279774
-58.2807,500,279.137713
-60.96039,500,279.993953
-45.87929,500,280.854744
-58.122684,500,281.711975
-63.521008,500,352.664017
-57.10524,500,353.66711
-56.033524,500,354.662839
-52.04894,500,355.661825
-51.575264,500,356.659075
-55.498962,500,429.239291
-48.389954,500,430.1109
-47.903088,500,430.984536
-51.439075,500,431.854502
-54.81086,500,432.724213
-44.925533,500,502.140413
-43.893085,500,503.005055
-44.42129,500,503.869153
-44.686874,500,504.731063
-42.64162,500,505.595969
-40.97125,500,575.922946
-41.221786,500,576.912644
-43.746567,500,577.8999
-40.47061,500,578.895212
-41.82434,500,579.881561
-40.89291,500,652.023202
-42.66739,500,652.897469
-40.754036,500,653.7689
-41.44495,500,654.647925
-41.021137,500,655.526177
-41.748978,500,726.102242
-41.354145,500,726.968041
-42.13787,500,727.832697
-39.738926,500,728.700057
-40.654682,500,729.672314
-40.331314,500,801.683241
-40.114887,500,802.686394
-40.906094,500,803.576156
-40.793365,500,804.434206
-42.140312,500,805.29143
-41.653133,500,875.986807
-41.2084,500,876.97642
-39.60889,500,877.963092
-39.84676,500,878.950422
-40.618637,500,879.955999
-41.8968,500,952.369239
-40.174152,500,953.227414
-40.816887,500,954.084608
-40.699974,500,954.941041
-42.19608,500,955.801929
-40.42826,500,1026.515738
-40.35937,500,1027.503535
-40.24373,500,1028.494606
-40.519196,500,1029.479181
-40.778614,500,1030.469615
-41.165012,500,1100.104713
-41.130928,500,1100.968442
-40.729603,500,1101.831419
-40.043392,500,1102.693279
-41.197834,500,1103.557908
-41.44583,500,1171.253557
-40.651768,500,1172.116672
-41.3721,500,1172.973323
-41.876453,500,1173.830934
-40.64757,500,1174.689074
-39.825493,500,1242.138405
-40.32044,500,1243.011918
-41.51599,500,1243.882391
-40.173607,500,1244.756949
-41.335915,500,1245.625897
-39.982197,500,1313.003275
-40.45526,500,1313.872858
-41.259422,500,1314.740477
-40.52054,500,1315.603558
-40.90374,500,1316.477714
-41.380505,500,1384.072848
-41.51009,500,1384.936296
-41.110737,500,1385.800352
-40.580456,500,1386.663214
-40.955227,500,1387.526604
-41.253407,500,1455.082501
-39.82524,500,1455.945589
-41.08023,500,1456.806143
-40.510548,500,1457.666893
-40.848194,500,1458.527951
-40.00837,500,1525.693648
-40.971046,500,1526.565542
-39.917892,500,1527.438162
-40.861958,500,1528.310919
-39.6945,500,1529.187015
-40.700325,500,1596.516509
-41.02046,500,1597.377779
-40.27127,500,1598.24372
-40.43986,500,1599.101763
-41.185844,500,1599.95827
-39.58652,500,1667.37525
-40.70657,500,1668.238376
-41.158627,500,1669.104573
-41.282852,500,1669.967663
-41.24993,500,1670.833775
-40.646477,500,1739.389256
-40.801346,500,1740.253873
-40.026512,500,1741.11427
-42.438713,500,1741.976343
-40.942207,500,1742.836732
-40.390427,500,1811.297845
-40.47788,500,1812.158795
-40.66369,500,1813.023245
-40.778614,500,1813.884827
-40.91635,500,1814.759073
774
-19.63095,500,116.209785
-20.083115,500,119.556034
-19.254673,500,119.556112
-20.021687,500,119.556134
-19.9296,500,119.556145
-19.779383,500,122.876451
-19.697824,500,122.876531
-19.757368,500,122.876552
-20.106474,500,122.876564
-19.719805,500,126.203686
-19.710352,500,126.203758
-19.703661,500,126.203776
-19.7452,500,126.203787
-19.818213,500,129.511072
-19.301607,500,129.511143
-20.068008,500,129.511166
-20.098587,500,129.511177
-19.957956,500,132.829171
-19.91511,500,132.829246
-19.747766,500,132.829268
-20.064207,500,132.82928
-19.772732,500,136.14898
-20.361235,500,136.149054
-19.698269,500,136.149072
-19.48349,500,136.149086
-20.282843,500,139.505665
-20.34113,500,139.505754
-19.746454,500,139.505773
-20.029446,500,139.505785
-19.933754,500,147.355252
-19.736195,500,147.35534
-20.066252,500,147.35536
-19.400492,500,147.355372
-19.681087,500,150.690671
-20.326494,500,150.690747
-19.845053,500,150.690768
-20.119356,500,150.690783
-19.894865,500,154.018533
-20.595581,500,154.018602
-20.096262,500,154.018621
-20.204296,500,154.018638
-20.190079,500,157.343327
-20.198889,500,157.343413
-19.50658,500,157.343434
-20.164808,500,157.343445
-19.783392,500,160.65486
-19.754837,500,160.65493
-20.20758,500,160.654947
-20.160837,500,160.654961
-20.10624,500,164.002866
-20.216808,500,164.00299
-20.356705,500,164.003012
-20.33946,500,164.003024
-19.762165,500,167.338064
-20.201347,500,167.33815
-19.652931,500,167.338171
-20.291681,500,167.338184
-19.66654,500,170.70036
-19.926779,500,170.70045
-20.084093,500,170.700471
-19.945751,500,170.700492
-19.882416,500,174.04563
-20.20429,500,174.045696
-19.919882,500,174.045713
-19.667463,500,174.045727
-19.962,500,177.44082
-20.082916,500,177.440941
-20.116102,500,177.440967
-19.48306,500,177.440979
-19.857224,500,180.7796
-19.667828,500,180.779673
-20.380781,500,180.779693
-19.911798,500,180.779705
-20.282022,500,184.348376
-21.031565,500,184.348476
-20.16548,500,184.34851
-20.58411,500,184.348526
-19.99492,500,187.852559
-19.774942,500,187.852645
-19.473892,500,187.852668
-19.792854,500,187.852683
-19.675333,500,191.284239
-19.895065,500,191.286146
-20.022657,500,191.28622
-19.412804,500,191.28624
-19.84592,500,194.618032
-19.76814,500,194.618253
-19.064785,500,194.620102
-19.808413,500,194.620261
-19.677824,500,197.952843
-20.52659,500,197.952922
-19.51103,500,197.952945
-19.894346,500,197.952957
-20.048832,500,201.264048
-19.970596,500,201.264129
-20.015757,500,201.264151
-19.821913,500,201.264164
-20.505768,500,204.590554
-19.483116,500,204.590623
-19.659214,500,204.59064
-20.300718,500,204.590651
-19.808529,500,207.910169
-19.734537,500,207.91024
-20.602985,500,207.910262
-19.854383,500,207.910274
-19.64038,500,211.232703
-19.542786,500,211.232771
-20.413227,500,211.232793
-20.240519,500,211.232805
-20.216673,500,218.937223
-19.60205,500,218.937295
-19.74299,500,218.937316
-19.636627,500,218.937332
-19.372684,500,222.262361
-19.938745,500,222.26245
-20.120453,500,222.262471
-19.963963,500,222.262497
-20.038513,500,225.569348
-19.627512,500,225.569436
-19.651423,500,225.569456
-20.23798,500,225.56947
-19.345797,500,228.909703
-20.17393,500,228.90981
-19.542305,500,228.909834
-19.430044,500,228.909847
-19.72485,500,232.252034
-20.171677,500,232.252104
-19.703419,500,232.252121
-19.636736,500,232.252136
-19.096853,500,235.564782
-19.90576,500,235.564856
-19.55903,500,235.564878
-20.088646,500,235.56489
-19.735865,500,238.876182
-20.165245,500,238.87625
-19.583298,500,238.876271
-20.058598,500,238.876283
-20.045347,500,242.175325
-19.549189,500,242.175413
-19.497692,500,242.175436
-19.979244,500,242.175448
-19.050589,500,245.472764
-19.794994,500,245.472833
-19.380169,500,245.472854
-19.999125,500,245.472866
-19.6391,500,248.78036
-19.129501,500,248.780449
-19.798819,500,248.780474
-19.917229,500,248.780487
-20.408413,500,252.07688
-19.572159,500,252.076953
-20.060886,500,252.076972
-19.810255,500,252.076984
-19.30655,500,255.387856
-19.364994,500,255.387929
-19.816727,500,255.387949
-19.113518,500,255.38796
-19.593346,500,258.722362
-19.923573,500,258.722533
-19.963442,500,258.722565
-19.929445,500,258.722586
-19.692589,500,262.045635
-19.775185,500,262.047557
-19.780535,500,262.047631
-20.08608,500,262.047647
-20.412176,500,265.369422
-19.604635,500,265.369501
-19.963245,500,265.36952
-19.523565,500,265.369534
-20.0845,500,268.725611
-19.725979,500,268.727713
-19.554985,500,268.727912
-19.380373,500,268.728852
-19.99425,500,272.057255
-19.725613,500,272.057323
-20.089138,500,272.057342
-19.348444,500,272.057353
-19.49742,500,275.381704
-19.748016,500,275.381794
-19.681915,500,275.381816
-19.991268,500,275.381835
-19.344843,500,278.681357
-19.195946,500,278.683305
-19.782625,500,278.683545
-19.706469,500,278.684514
-19.58885,500,281.971969
-19.572004,500,281.972044
-19.300648,500,281.972062
-19.77386,500,281.972077
-19.672161,500,289.692511
-19.9686,500,289.692579
-20.017817,500,289.692599
-19.40377,500,289.692611
-19.36186,500,293.040304
-19.77948,500,293.040377
-19.48445,500,293.040412
-19.162062,500,293.040427
-19.265102,500,296.478623
-19.862015,500,296.478746
-19.82094,500,296.478769
-19.759193,500,296.478786
-19.957436,500,300.237977
-19.955763,500,300.238066
-19.772684,500,300.238096
-19.419764,500,300.238118
-19.3056,500,303.823514
-19.470715,500,303.823591
-19.900503,500,303.82361
-19.797722,500,303.823622
-18.832998,500,307.204936
-20.035473,500,307.205012
-19.571978,500,307.205034
-19.553638,500,307.205045
-19.553926,500,310.65526
-19.578274,500,310.655337
-19.739708,500,310.655356
-19.682182,500,310.655368
-19.401497,500,314.163096
-19.323376,500,314.165053
-19.292782,500,314.165129
-19.360182,500,314.165149
